City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,33.64,85,98,1.57,US,1675117079
1,tiksi,71.6872,128.8694,-21.64,98,100,5.95,RU,1675117447
2,georgetown,5.4112,100.3354,80.53,75,20,4.61,MY,1675117377
3,hilo,19.7297,-155.09,71.02,93,100,6.91,US,1675117417
4,kavieng,-2.5744,150.7967,82.15,75,100,5.53,PG,1675117453
5,wilmington,34.2257,-77.9447,63.95,83,100,6.91,US,1675117177
6,punta arenas,-53.15,-70.9167,53.71,47,75,34.52,CL,1675117316
7,strezhevoy,60.7333,77.5889,12.07,94,100,8.01,RU,1675117456
8,saldanha,-33.0117,17.9442,65.89,73,0,8.66,ZA,1675117456
9,rikitea,-23.1203,-134.9692,79.18,72,18,8.59,PF,1675117458
10,bakal,54.9417,58.8083,16.7,92,100,5.55,RU,1675117460
11,barrow,71.2906,-156.7887,-7.58,77,20,21.85,US,1675117208
12,cochrane,51.1834,-114.4687,21.9,50,99,4.92,CA,1675117463
13,talcahuano,-36.7167,-73.1167,73.08,53,0,23.02,CL,1675117464
14,lensk,60.7253,114.9278,-11.13,99,100,2.62,RU,1675117465
15,murgab,37.4966,61.9714,39.07,81,40,4.61,TM,1675117466
16,hervey bay,-25.2986,152.8535,78.91,70,100,13.15,AU,1675117468
17,bredasdorp,-34.5322,20.0403,66.0,76,21,17.63,ZA,1675117469
18,okhotsk,59.3833,143.3,-1.53,76,100,14.14,RU,1675117471
19,cururupu,-1.8283,-44.8683,75.04,93,100,2.53,BR,1675117472
20,leh,34.1667,77.5833,12.27,86,100,4.38,IN,1675117473
21,sola,-13.8833,167.55,79.12,78,99,6.82,VU,1675117476
22,ribeira grande,38.5167,-28.7,56.77,79,9,5.99,PT,1675117479
23,mahebourg,-20.4081,57.7,78.26,94,40,2.3,MU,1675117480
24,sioux lookout,50.1001,-91.917,-7.53,59,20,8.05,CA,1675117480
25,qaanaaq,77.484,-69.3632,-6.93,52,3,8.43,GL,1675117481
26,faanui,-16.4833,-151.75,81.14,74,55,14.54,PF,1675117481
27,huntington beach,33.6603,-117.9992,60.08,80,75,10.36,US,1675117452
28,rabaul,-4.1967,152.1721,83.17,70,98,2.59,PG,1675117482
29,west wendover,40.7391,-114.0733,24.01,54,75,6.91,US,1675117482
30,tasiilaq,65.6145,-37.6368,15.96,86,100,4.38,GL,1675117483
31,jamestown,42.097,-79.2353,28.02,70,100,8.05,US,1675117228
32,atuona,-9.8,-139.0333,78.91,78,46,19.17,PF,1675117483
33,mirabad,30.4362,61.8383,50.76,44,21,8.12,AF,1675117484
34,longyearbyen,78.2186,15.6401,1.0,93,81,7.27,SJ,1675117484
35,san cristobal,7.7669,-72.225,75.38,51,8,3.98,VE,1675117485
36,ushuaia,-54.8,-68.3,49.66,62,40,24.16,AR,1675117485
